farm_size_ha,years_experience,current_debt_php,crop_type,loan_repayment_hist,irrigation_access,avg_yield_tons_ha,credit_risk
3.33,5,104797,Rice,1,0,2.73,Low
3.38,11,124917,Rice,1,0,5.34,Low
3.93,13,126303,Corn,1,1,1.24,Low
4.44,26,136511,Soybean,1,0,2.41,High
5.86,25,42533,Rice,1,0,4.14,Low
3.24,19,78815,Soybean,1,0,2.26,High
2.14,23,39279,Soybean,1,0,6.12,Low
4.83,10,109787,Vegetable,0,0,1.55,High
1.84,10,148702,Corn,1,0,5.35,Low
2.8,11,61063,Corn,0,1,3.7,High
0.75,21,127896,Corn,1,0,5.08,Low
0.44,30,97661,Vegetable,0,0,2.57,High
5.79,7,138051,Vegetable,0,0,3.73,High
5.07,18,123257,Corn,0,0,5.68,Low
4.27,4,86205,Vegetable,1,1,3.46,High
2.63,2,6910,Vegetable,0,1,2.85,High
1.29,14,46857,Vegetable,1,0,3.86,High
1.19,13,34964,Corn,1,0,4.89,Low
1.73,29,137050,Corn,1,1,3.33,Low
3.43,12,17153,Corn,1,0,6.15,Low
4.37,7,59765,Vegetable,1,1,2.48,Low
4.06,2,108212,Corn,0,0,3.51,High
1.9,13,39071,Vegetable,0,0,5.11,High
5.74,14,112990,Rice,1,1,4.73,Low
4.51,27,69519,Vegetable,0,1,5.72,Low
3.46,17,9503,Soybean,1,1,6.48,Low
3.79,9,95457,Corn,0,0,3.23,High
2.69,17,147977,Corn,1,1,1.43,Low
1.71,8,45838,Soybean,1,1,0.97,High
2.33,2,125200,Vegetable,0,0,4.94,High
4.62,28,89489,Rice,0,0,5.78,Low
0.38,24,26806,Soybean,0,0,2.06,High
0.96,13,70119,Soybean,0,0,1.7,High
0.56,3,38714,Vegetable,0,1,1.15,High
0.53,16,55419,Corn,0,0,5.49,High
5.18,6,105432,Vegetable,0,0,2.57,High
4.31,19,92949,Soybean,0,0,3.09,High
3.0,30,133533,Soybean,1,1,3.67,High
0.86,7,145363,Corn,0,0,5.58,High
3.1,10,76971,Corn,1,1,4.51,Low
3.0,9,93471,Corn,0,0,4.31,High
1.29,2,64946,Vegetable,0,1,1.8,High
2.77,28,98989,Corn,0,1,3.73,High
2.57,28,84080,Soybean,0,1,4.88,High
3.81,15,77794,Soybean,0,1,6.35,High
3.92,30,30841,Rice,1,0,1.95,Low
0.56,5,124447,Vegetable,0,1,0.85,High
2.44,29,120029,Rice,1,0,1.23,High
3.87,22,76272,Soybean,1,1,2.94,Low
3.17,4,37643,Rice,1,1,5.48,Low
5.18,20,43950,Soybean,1,0,0.84,Low
4.05,4,100500,Rice,1,1,3.4,Low
1.23,18,125588,Corn,0,0,2.68,High
0.7,4,15997,Rice,1,0,1.1,High
3.96,27,79751,Corn,1,1,3.37,Low
0.45,17,98605,Corn,1,1,2.25,Low
3.64,12,55533,Vegetable,1,1,2.81,Low
5.66,22,82566,Corn,0,1,4.82,Low
3.58,17,145643,Corn,1,1,3.77,Low
2.51,10,108255,Rice,1,1,1.51,High
3.97,22,58005,Soybean,1,1,6.28,Low
2.91,1,43541,Vegetable,1,0,4.42,High
3.41,22,23387,Corn,1,0,5.17,Low
5.67,26,93980,Vegetable,1,0,1.25,Low
2.5,24,85457,Rice,0,1,1.07,High
5.78,27,144129,Corn,0,1,0.91,High
5.46,18,64028,Rice,1,0,1.88,Low
1.42,18,119246,Vegetable,0,0,3.16,High
0.7,14,55731,Rice,1,0,6.13,High
0.87,15,44638,Vegetable,1,1,3.41,Low
0.4,29,20567,Rice,0,0,2.45,High
0.84,12,57804,Vegetable,1,0,4.0,High
4.19,4,108821,Soybean,0,1,1.44,High
0.71,27,3754,Rice,1,0,4.27,Low
2.12,3,27044,Rice,1,0,4.04,Low
5.12,20,67260,Soybean,1,1,5.31,Low
0.43,29,66912,Soybean,0,1,6.42,High
4.94,12,8706,Rice,0,0,2.23,High
1.91,7,8894,Soybean,0,0,3.71,Low
0.97,29,149109,Corn,1,1,5.98,Low
4.27,11,83986,Vegetable,1,1,5.28,Low
3.88,1,81942,Vegetable,1,1,3.58,Low
5.3,6,29725,Vegetable,1,0,6.19,High
4.49,15,136998,Corn,0,1,1.13,High
4.88,15,104555,Soybean,1,0,6.11,Low
1.91,19,9496,Soybean,0,1,1.09,High
1.31,11,56447,Rice,0,1,3.92,High
4.58,26,101604,Soybean,1,0,5.88,Low
4.9,23,88199,Rice,0,0,2.3,High
5.95,26,41321,Corn,1,0,3.49,Low
2.65,2,55147,Vegetable,1,1,2.65,Low
2.42,14,91396,Vegetable,1,0,6.23,High
4.73,2,38787,Vegetable,1,1,5.49,Low
2.24,29,21727,Soybean,1,0,4.84,Low
5.61,4,95081,Rice,1,1,4.15,High
5.19,17,122721,Rice,1,0,5.48,Low
2.75,3,68056,Corn,1,0,3.04,High
4.58,13,134153,Soybean,0,1,3.35,High
4.6,9,80102,Corn,0,0,4.96,High
0.89,7,76865,Rice,1,1,2.84,High
5.44,15,67695,Rice,1,1,1.16,Low
3.18,23,117235,Vegetable,0,0,1.22,High
5.01,29,108777,Soybean,1,1,1.46,Low
2.12,29,19033,Rice,0,0,5.76,High
5.4,11,141877,Vegetable,1,1,3.49,Low
2.52,20,26832,Soybean,1,1,4.86,Low
0.36,2,115725,Corn,1,1,3.04,Low
5.46,15,145016,Soybean,1,1,2.27,Low
0.82,14,19873,Soybean,0,0,2.78,High
2.12,20,40372,Rice,1,0,5.33,Low
5.72,22,89464,Rice,0,0,4.36,Low
5.72,11,146451,Soybean,0,0,6.14,High
3.57,27,117322,Rice,1,1,4.67,Low
3.9,3,100082,Rice,0,1,4.05,High
2.86,17,5110,Rice,1,1,4.28,Low
1.97,30,12087,Vegetable,1,1,6.17,Low
2.17,12,82617,Vegetable,0,0,5.29,High
4.13,24,100483,Soybean,1,1,0.94,Low
4.59,28,9596,Rice,1,1,3.84,Low
4.81,29,107539,Vegetable,1,0,4.72,Low
4.8,21,18313,Soybean,1,0,5.07,Low
0.82,15,113175,Rice,0,1,2.01,High
3.12,16,114914,Corn,0,1,5.74,Low
0.63,5,23705,Rice,0,1,6.25,High
3.43,27,73445,Rice,0,0,2.15,High
2.82,20,103892,Vegetable,1,1,5.83,Low
5.36,6,2023,Soybean,1,1,1.35,Low
2.3,19,119654,Soybean,1,1,1.12,High
0.97,25,80073,Vegetable,1,0,1.54,High
1.12,5,92197,Rice,1,1,1.13,High
4.64,3,64429,Corn,0,0,5.62,High
3.82,27,104195,Rice,1,0,1.14,High
0.88,1,33848,Rice,1,0,2.35,High
0.78,26,146451,Corn,1,1,1.39,High
4.3,28,27766,Vegetable,0,0,2.48,High
0.71,6,68099,Soybean,0,0,1.32,High
4.98,15,69122,Vegetable,1,1,4.61,Low
4.33,2,147159,Vegetable,1,0,1.56,High
0.76,29,48868,Rice,0,1,5.66,Low
0.78,3,119119,Soybean,1,1,5.46,High
5.92,17,95286,Soybean,1,0,0.88,Low
2.43,25,6643,Vegetable,0,1,5.91,Low
2.41,24,36727,Corn,0,0,0.96,High
4.93,12,142077,Vegetable,1,1,2.17,High
5.7,18,109079,Corn,0,0,0.98,High
5.92,15,65697,Soybean,0,0,2.71,High
4.59,12,16029,Vegetable,1,0,3.73,Low
2.44,16,145298,Rice,0,1,5.34,High
0.78,27,109458,Vegetable,0,1,2.73,High
4.73,8,110384,Soybean,0,0,4.82,High
3.48,28,68926,Rice,0,1,1.87,High
2.72,14,137069,Rice,1,1,5.08,Low
5.47,25,55506,Corn,1,0,2.15,Low
0.93,17,78229,Rice,1,0,1.62,High
3.11,29,42092,Rice,1,0,1.86,Low
0.36,21,62539,Vegetable,1,1,1.84,High
2.97,8,13428,Soybean,0,1,3.72,High
0.62,15,141330,Corn,0,1,5.62,High
0.98,27,57775,Vegetable,0,0,1.25,High
0.97,14,5469,Rice,0,0,4.83,High
4.0,18,28854,Rice,0,0,4.53,Low
4.55,20,137328,Corn,1,0,5.77,Low
3.63,7,76256,Soybean,1,0,2.19,High
5.78,3,99134,Corn,1,0,3.37,Low
2.44,29,132723,Vegetable,0,1,6.08,High
1.93,12,84730,Corn,1,0,4.56,High
5.25,21,27386,Rice,0,0,3.02,Low
1.57,24,147256,Vegetable,1,0,1.55,High
5.79,28,33787,Rice,0,0,2.3,High
0.37,26,21621,Soybean,0,0,4.11,High
5.83,3,77984,Rice,0,0,4.89,High
0.55,20,34051,Rice,0,0,1.51,High
5.38,14,49811,Corn,0,0,4.22,High
3.31,15,30447,Rice,0,1,3.94,Low
5.96,25,128046,Vegetable,0,1,3.73,Low
0.72,30,84045,Vegetable,0,0,4.73,High
3.46,14,116859,Soybean,0,0,5.57,High
5.83,7,145544,Vegetable,1,1,2.64,Low
3.28,17,3471,Corn,1,0,5.87,Low
3.89,30,120312,Soybean,1,1,1.72,Low
4.27,12,139401,Vegetable,1,1,1.79,Low
2.89,20,46850,Corn,1,0,2.32,Low
3.88,4,54220,Vegetable,0,1,1.48,High
3.63,9,93808,Vegetable,0,1,2.11,High
5.44,6,137469,Rice,0,1,1.41,High
0.56,16,53072,Vegetable,1,0,5.48,Low
1.9,25,83820,Vegetable,1,1,1.59,Low
5.72,28,23284,Corn,1,0,5.06,Low
5.37,22,83369,Corn,1,0,1.07,Low
2.9,22,25122,Rice,1,1,6.21,Low
3.83,21,130349,Vegetable,1,0,4.85,Low
1.88,21,70553,Rice,0,1,0.84,High
1.37,2,94788,Vegetable,0,0,5.15,High
2.94,24,62812,Soybean,1,0,3.73,High
2.31,8,7999,Soybean,1,0,5.24,Low
3.63,11,22436,Rice,1,1,3.78,Low
0.74,13,42963,Rice,1,0,4.45,Low
5.85,17,133168,Rice,0,1,5.28,Low
5.92,8,108899,Corn,1,1,3.11,Low
4.28,21,26201,Corn,1,0,0.82,Low
3.36,18,146150,Corn,1,1,5.64,Low
2.06,30,5105,Rice,1,0,2.97,Low
4.94,18,117666,Vegetable,0,1,3.63,High
4.2,14,94848,Soybean,0,1,0.84,High
1.23,15,2839,Rice,0,0,3.6,High
5.49,6,68920,Corn,1,1,6.42,Low
4.99,11,43619,Corn,1,0,2.39,High
5.71,13,42821,Rice,1,0,3.05,Low
4.44,25,125736,Rice,0,0,4.72,High
3.8,1,144565,Corn,1,1,5.44,Low
2.68,28,17069,Vegetable,1,0,3.18,Low
5.62,6,7531,Corn,0,0,2.57,Low
5.24,9,138808,Corn,0,0,6.15,Low
0.56,8,138782,Rice,1,0,4.66,Low
0.45,11,67155,Vegetable,1,0,1.48,High
2.45,22,145047,Corn,1,0,1.19,Low
4.92,19,62424,Corn,0,0,3.56,High
5.93,24,45603,Soybean,1,1,2.05,Low
1.16,9,132503,Rice,0,1,2.25,High
3.69,17,92573,Soybean,1,0,5.8,Low
2.47,12,140629,Soybean,0,1,1.31,High
5.83,25,103302,Corn,0,0,4.88,High
5.1,14,131234,Rice,1,1,2.35,Low
5.08,15,19675,Vegetable,0,0,5.13,Low
2.97,16,73997,Corn,1,1,4.92,Low
2.66,22,148087,Vegetable,0,1,0.84,High
1.86,22,140905,Vegetable,0,0,3.7,High
0.62,28,7896,Rice,1,0,1.59,Low
5.23,20,49733,Soybean,0,0,5.74,Low
4.93,1,41800,Rice,0,0,5.77,High
6.0,10,96044,Vegetable,1,0,3.18,Low
5.98,8,5347,Corn,1,0,3.33,Low
3.47,18,133715,Vegetable,0,0,2.53,High
4.68,28,40785,Corn,0,1,4.88,High
5.69,1,18681,Corn,1,0,2.84,Low
5.14,2,103864,Rice,1,0,2.33,High
1.71,1,146964,Vegetable,1,0,3.26,High
2.87,1,47299,Soybean,1,1,1.32,High
1.04,9,17073,Vegetable,1,0,5.06,High
5.74,13,102304,Vegetable,0,0,0.87,High
3.76,30,30682,Soybean,1,1,4.47,Low
1.6,1,124302,Rice,0,1,1.84,High
4.13,13,145361,Vegetable,1,1,2.12,Low
3.82,20,115359,Vegetable,1,1,4.42,Low
2.34,26,138999,Corn,1,1,6.46,Low
0.95,22,66707,Vegetable,1,0,5.23,Low
4.13,7,65428,Soybean,0,0,2.09,High
3.27,2,50601,Corn,0,0,1.8,High
4.7,6,133611,Rice,0,0,5.74,High
3.26,7,111487,Corn,0,1,3.33,High
5.16,26,149817,Soybean,0,1,1.58,High
3.45,14,28228,Soybean,1,0,5.71,High
3.5,26,122788,Corn,0,1,5.45,Low
5.3,18,97239,Rice,0,1,6.41,Low
2.6,15,26928,Corn,1,1,5.99,Low
1.06,2,18322,Rice,0,1,5.66,High
0.46,10,87896,Corn,1,0,1.1,High
4.6,23,62292,Soybean,1,1,1.4,Low
3.84,12,29055,Vegetable,0,0,4.04,High
4.31,17,42891,Vegetable,1,1,3.83,Low
1.51,8,81912,Rice,1,0,3.41,Low
1.08,11,137660,Rice,0,1,3.06,High
0.38,29,90536,Rice,0,0,3.26,High
2.3,3,6304,Soybean,1,1,4.04,Low
3.66,27,7345,Corn,0,1,0.81,High
2.54,6,91006,Soybean,1,0,2.29,High
2.79,9,146424,Vegetable,1,1,3.75,Low
5.45,6,129350,Rice,0,1,4.92,High
2.29,9,19446,Corn,0,1,1.79,High
3.23,7,2336,Vegetable,1,0,3.92,Low
4.77,9,62032,Vegetable,0,1,4.87,High
